short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,attacking_volleys,power_shot_power,power_long_shots,skill_ball_control,mentality_positioning
L. Messi,"RW, ST, CF",93,93,78000000.0,7.892094602690481,2023.0,2.0,34,4,5,85.0,92.0,91.0,95.0,34.0,65.0,95,70,88,86,94,96,93
R. Lewandowski,ST,92,92,119500000.0,8.077367905284156,2023.0,2.0,32,4,5,78.0,92.0,79.0,86.0,44.0,82.0,95,90,89,90,87,88,95
Cristiano Ronaldo,"ST, LW",91,91,45000000.0,7.653212513775344,2023.0,2.0,36,4,5,87.0,94.0,80.0,88.0,34.0,75.0,95,90,86,94,93,88,95
K. Mbappé,"ST, LW",91,95,194000000.0,8.287801729930226,2022.0,1.0,22,4,4,97.0,88.0,80.0,92.0,36.0,77.0,93,72,83,86,82,91,92
H. Kane,ST,90,90,129500000.0,8.11226976841727,2024.0,3.0,27,5,4,70.0,91.0,83.0,83.0,47.0,83.0,94,86,88,91,86,85,94
K. Benzema,"CF, ST",89,89,66000000.0,7.819543935541868,2023.0,2.0,33,4,4,76.0,86.0,81.0,87.0,39.0,77.0,90,89,86,85,79,90,90
L. Suárez,ST,88,88,44500000.0,7.648360010980932,2022.0,1.0,34,4,5,72.0,90.0,82.0,84.0,47.0,83.0,93,84,90,89,88,86,91
R. Lukaku,ST,88,88,93500000.0,7.970811610872518,2026.0,5.0,28,4,4,84.0,87.0,74.0,78.0,39.0,83.0,92,89,78,89,74,77,89
E. Haaland,ST,88,93,137500000.0,8.138302698166282,2024.0,3.0,20,3,4,89.0,91.0,65.0,80.0,45.0,88.0,94,69,88,94,87,85,89
S. Agüero,ST,87,87,51000000.0,7.707570176097937,2023.0,2.0,33,4,4,71.0,89.0,75.0,87.0,33.0,69.0,93,78,85,90,83,88,91
C. Immobile,ST,87,87,67500000.0,7.829303772831025,2025.0,4.0,31,4,4,86.0,87.0,67.0,81.0,39.0,77.0,91,81,85,86,80,83,91
Gerard Moreno,"ST, RM, RW",86,86,68000000.0,7.832508912706237,2027.0,6.0,29,4,2,79.0,86.0,77.0,84.0,46.0,73.0,89,82,81,83,83,85,87
J. Vardy,ST,86,86,33000000.0,7.518513939877887,2023.0,2.0,34,4,3,85.0,84.0,70.0,80.0,52.0,73.0,90,79,84,87,67,82,92
Marcos Llorente,"CM, RM, ST",86,89,88000000.0,7.944482672150168,2027.0,6.0,26,4,3,88.0,80.0,81.0,82.0,78.0,82.0,81,67,64,84,79,84,87
E. Cavani,ST,85,85,26000000.0,7.414973347970818,2022.0,1.0,34,4,4,66.0,86.0,70.0,76.0,51.0,79.0,89,88,86,87,77,81,93
P. Aubameyang,"ST, LW, LM",85,85,43500000.0,7.638489256954637,2023.0,2.0,32,4,3,89.0,85.0,75.0,80.0,35.0,69.0,89,73,83,82,78,81,90
A. Griezmann,"ST, LW, RW",85,85,53000000.0,7.724275869600789,2022.0,1.0,30,3,4,80.0,84.0,84.0,87.0,52.0,72.0,84,83,86,82,83,89,89
L. Martínez,ST,85,89,78000000.0,7.892094602690481,2023.0,2.0,23,4,3,84.0,81.0,72.0,85.0,48.0,84.0,85,87,88,80,74,85,86
M. Rashford,"LM, ST",85,89,77500000.0,7.889301702506311,2023.0,2.0,23,3,3,90.0,84.0,79.0,84.0,43.0,77.0,83,68,73,92,81,84,83
Z. Ibrahimović,ST,84,84,14500000.0,7.161368002234975,2022.0,1.0,39,4,5,65.0,87.0,78.0,79.0,34.0,77.0,86,83,88,88,88,86,89
D. Mertens,"CF, ST, CAM",84,84,20500000.0,7.311753861055754,2022.0,1.0,34,4,3,85.0,82.0,80.0,88.0,34.0,50.0,84,40,70,80,81,88,82
Iago Aspas,"ST, RW",84,84,27000000.0,7.431363764158987,2023.0,2.0,33,4,2,82.0,85.0,79.0,86.0,35.0,63.0,89,77,83,79,81,86,84
W. Ben Yedder,ST,84,84,41500000.0,7.6180480967120925,2024.0,3.0,30,5,2,82.0,84.0,77.0,87.0,39.0,70.0,88,74,84,84,74,87,90
J. Iličić,"CF, ST",84,84,27000000.0,7.431363764158987,2022.0,1.0,33,4,3,75.0,86.0,84.0,86.0,40.0,67.0,85,58,83,88,89,88,85
Y. Carrasco,"LM, ST",84,84,45000000.0,7.653212513775344,2024.0,3.0,27,4,3,88.0,81.0,78.0,85.0,45.0,67.0,81,53,70,85,82,85,80
T. Werner,"ST, LW",84,87,56500000.0,7.752048447819439,2025.0,4.0,25,4,3,91.0,81.0,70.0,82.0,35.0,70.0,81,76,84,85,77,84,88
N. Fekir,"CAM, RM, ST",84,84,45000000.0,7.653212513775344,2023.0,2.0,27,4,3,83.0,83.0,82.0,87.0,38.0,79.0,83,49,77,84,84,87,82
André Silva,ST,84,85,51000000.0,7.707570176097937,2026.0,5.0,25,3,3,74.0,84.0,69.0,83.0,45.0,77.0,87,86,84,83,78,85,87
E. Džeko,ST,83,83,15500000.0,7.190331698170292,2023.0,2.0,35,5,3,66.0,83.0,72.0,78.0,45.0,76.0,85,83,77,86,78,86,90
K. Volland,"ST, CF",83,83,37000000.0,7.568201724066995,2024.0,3.0,28,4,2,73.0,85.0,79.0,80.0,42.0,86.0,86,76,85,87,84,80,86
Morata,ST,83,83,37000000.0,7.568201724066995,2022.0,1.0,28,4,3,82.0,80.0,72.0,81.0,31.0,77.0,84,86,80,80,72,83,87
M. Icardi,ST,83,83,37000000.0,7.568201724066995,2024.0,3.0,28,4,3,69.0,83.0,65.0,77.0,36.0,69.0,87,85,85,85,71,80,91
R. Jiménez,ST,83,83,35500000.0,7.550228353055094,2024.0,3.0,30,4,3,72.0,82.0,76.0,81.0,47.0,82.0,84,85,82,84,74,82,84
Á. Correa,"ST, RM",83,86,48000000.0,7.681241237375588,2024.0,3.0,26,4,2,85.0,83.0,78.0,87.0,49.0,74.0,85,69,80,83,86,87,84
D. Zapata,ST,83,83,35500000.0,7.550228353055094,2023.0,2.0,30,4,2,80.0,81.0,61.0,78.0,35.0,84.0,88,83,79,86,64,82,86
A. Kramarić,"ST, CAM",83,83,35500000.0,7.550228353055094,2022.0,1.0,30,4,3,71.0,86.0,76.0,86.0,30.0,71.0,87,69,85,84,85,86,86
W. Weghorst,ST,83,83,37000000.0,7.568201724066995,2023.0,2.0,28,3,2,63.0,83.0,59.0,70.0,52.0,86.0,87,92,83,86,74,79,88
Gabriel Jesus,ST,83,87,52500000.0,7.720159303405957,2023.0,2.0,24,3,2,84.0,81.0,72.0,86.0,39.0,73.0,84,77,77,82,76,86,87
João Félix,"CF, ST",83,91,82000000.0,7.913813852383717,2026.0,5.0,21,4,2,82.0,79.0,76.0,86.0,40.0,68.0,79,69,81,80,80,87,84
L. Stindl,"CAM, ST",82,82,24000000.0,7.380211241711606,2023.0,2.0,32,4,3,61.0,84.0,81.0,81.0,60.0,73.0,84,65,85,85,83,84,85
A. Lacazette,ST,82,82,30000000.0,7.477121254719663,2022.0,1.0,30,4,3,75.0,82.0,74.0,82.0,44.0,72.0,83,75,79,87,78,82,82
W. Zaha,"CF, LM, ST",82,82,31000000.0,7.491361693834273,2023.0,2.0,28,3,2,89.0,77.0,73.0,87.0,34.0,75.0,78,47,67,82,72,86,76
L. Muriel,ST,82,82,30000000.0,7.477121254719663,2024.0,3.0,30,4,2,89.0,83.0,74.0,86.0,27.0,67.0,84,69,78,81,84,83,83
Anderson Talisca,"CF, ST, CAM",82,83,35500000.0,7.550228353055094,2024.0,3.0,27,4,2,80.0,83.0,81.0,83.0,52.0,75.0,81,77,76,84,87,84,86
A. Rebić,"LM, ST",82,82,32500000.0,7.511883360978874,2025.0,4.0,27,4,1,86.0,83.0,75.0,81.0,48.0,80.0,85,74,82,85,80,82,79
Diogo Jota,"LW, ST",82,87,46000000.0,7.662757831681574,2025.0,4.0,24,5,2,84.0,81.0,73.0,85.0,57.0,77.0,84,77,78,84,75,85,85
Richarlison,"ST, LW, LM",82,87,46500000.0,7.6674529528899535,2024.0,3.0,24,5,3,83.0,78.0,73.0,83.0,53.0,80.0,80,83,75,83,70,83,83
A. Isak,ST,82,86,45000000.0,7.653212513775344,2026.0,5.0,21,5,2,84.0,82.0,68.0,79.0,29.0,69.0,83,77,83,84,77,82,86
