short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic
L. Messi,"RW, ST, CF",93,93,78000000.0,7.892094602690481,2023.0,2.0,34,4,5,85.0,92.0,91.0,95.0,34.0,65.0
R. Lewandowski,ST,92,92,119500000.0,8.077367905284156,2023.0,2.0,32,4,5,78.0,92.0,79.0,86.0,44.0,82.0
Cristiano Ronaldo,"ST, LW",91,91,45000000.0,7.653212513775344,2023.0,2.0,36,4,5,87.0,94.0,80.0,88.0,34.0,75.0
K. Mbappé,"ST, LW",91,95,194000000.0,8.287801729930226,2022.0,1.0,22,4,4,97.0,88.0,80.0,92.0,36.0,77.0
H. Kane,ST,90,90,129500000.0,8.11226976841727,2024.0,3.0,27,5,4,70.0,91.0,83.0,83.0,47.0,83.0
K. Benzema,"CF, ST",89,89,66000000.0,7.819543935541868,2023.0,2.0,33,4,4,76.0,86.0,81.0,87.0,39.0,77.0
L. Suárez,ST,88,88,44500000.0,7.648360010980932,2022.0,1.0,34,4,5,72.0,90.0,82.0,84.0,47.0,83.0
R. Lukaku,ST,88,88,93500000.0,7.970811610872518,2026.0,5.0,28,4,4,84.0,87.0,74.0,78.0,39.0,83.0
E. Haaland,ST,88,93,137500000.0,8.138302698166282,2024.0,3.0,20,3,4,89.0,91.0,65.0,80.0,45.0,88.0
S. Agüero,ST,87,87,51000000.0,7.707570176097937,2023.0,2.0,33,4,4,71.0,89.0,75.0,87.0,33.0,69.0
C. Immobile,ST,87,87,67500000.0,7.829303772831025,2025.0,4.0,31,4,4,86.0,87.0,67.0,81.0,39.0,77.0
Gerard Moreno,"ST, RM, RW",86,86,68000000.0,7.832508912706237,2027.0,6.0,29,4,2,79.0,86.0,77.0,84.0,46.0,73.0
J. Vardy,ST,86,86,33000000.0,7.518513939877887,2023.0,2.0,34,4,3,85.0,84.0,70.0,80.0,52.0,73.0
Marcos Llorente,"CM, RM, ST",86,89,88000000.0,7.944482672150168,2027.0,6.0,26,4,3,88.0,80.0,81.0,82.0,78.0,82.0
E. Cavani,ST,85,85,26000000.0,7.414973347970818,2022.0,1.0,34,4,4,66.0,86.0,70.0,76.0,51.0,79.0
P. Aubameyang,"ST, LW, LM",85,85,43500000.0,7.638489256954637,2023.0,2.0,32,4,3,89.0,85.0,75.0,80.0,35.0,69.0
A. Griezmann,"ST, LW, RW",85,85,53000000.0,7.724275869600789,2022.0,1.0,30,3,4,80.0,84.0,84.0,87.0,52.0,72.0
L. Martínez,ST,85,89,78000000.0,7.892094602690481,2023.0,2.0,23,4,3,84.0,81.0,72.0,85.0,48.0,84.0
M. Rashford,"LM, ST",85,89,77500000.0,7.889301702506311,2023.0,2.0,23,3,3,90.0,84.0,79.0,84.0,43.0,77.0
Z. Ibrahimović,ST,84,84,14500000.0,7.161368002234975,2022.0,1.0,39,4,5,65.0,87.0,78.0,79.0,34.0,77.0
D. Mertens,"CF, ST, CAM",84,84,20500000.0,7.311753861055754,2022.0,1.0,34,4,3,85.0,82.0,80.0,88.0,34.0,50.0
Iago Aspas,"ST, RW",84,84,27000000.0,7.431363764158987,2023.0,2.0,33,4,2,82.0,85.0,79.0,86.0,35.0,63.0
W. Ben Yedder,ST,84,84,41500000.0,7.6180480967120925,2024.0,3.0,30,5,2,82.0,84.0,77.0,87.0,39.0,70.0
J. Iličić,"CF, ST",84,84,27000000.0,7.431363764158987,2022.0,1.0,33,4,3,75.0,86.0,84.0,86.0,40.0,67.0
Y. Carrasco,"LM, ST",84,84,45000000.0,7.653212513775344,2024.0,3.0,27,4,3,88.0,81.0,78.0,85.0,45.0,67.0
T. Werner,"ST, LW",84,87,56500000.0,7.752048447819439,2025.0,4.0,25,4,3,91.0,81.0,70.0,82.0,35.0,70.0
N. Fekir,"CAM, RM, ST",84,84,45000000.0,7.653212513775344,2023.0,2.0,27,4,3,83.0,83.0,82.0,87.0,38.0,79.0
André Silva,ST,84,85,51000000.0,7.707570176097937,2026.0,5.0,25,3,3,74.0,84.0,69.0,83.0,45.0,77.0
E. Džeko,ST,83,83,15500000.0,7.190331698170292,2023.0,2.0,35,5,3,66.0,83.0,72.0,78.0,45.0,76.0
K. Volland,"ST, CF",83,83,37000000.0,7.568201724066995,2024.0,3.0,28,4,2,73.0,85.0,79.0,80.0,42.0,86.0
Morata,ST,83,83,37000000.0,7.568201724066995,2022.0,1.0,28,4,3,82.0,80.0,72.0,81.0,31.0,77.0
M. Icardi,ST,83,83,37000000.0,7.568201724066995,2024.0,3.0,28,4,3,69.0,83.0,65.0,77.0,36.0,69.0
R. Jiménez,ST,83,83,35500000.0,7.550228353055094,2024.0,3.0,30,4,3,72.0,82.0,76.0,81.0,47.0,82.0
Á. Correa,"ST, RM",83,86,48000000.0,7.681241237375588,2024.0,3.0,26,4,2,85.0,83.0,78.0,87.0,49.0,74.0
D. Zapata,ST,83,83,35500000.0,7.550228353055094,2023.0,2.0,30,4,2,80.0,81.0,61.0,78.0,35.0,84.0
A. Kramarić,"ST, CAM",83,83,35500000.0,7.550228353055094,2022.0,1.0,30,4,3,71.0,86.0,76.0,86.0,30.0,71.0
W. Weghorst,ST,83,83,37000000.0,7.568201724066995,2023.0,2.0,28,3,2,63.0,83.0,59.0,70.0,52.0,86.0
Gabriel Jesus,ST,83,87,52500000.0,7.720159303405957,2023.0,2.0,24,3,2,84.0,81.0,72.0,86.0,39.0,73.0
João Félix,"CF, ST",83,91,82000000.0,7.913813852383717,2026.0,5.0,21,4,2,82.0,79.0,76.0,86.0,40.0,68.0
L. Stindl,"CAM, ST",82,82,24000000.0,7.380211241711606,2023.0,2.0,32,4,3,61.0,84.0,81.0,81.0,60.0,73.0
A. Lacazette,ST,82,82,30000000.0,7.477121254719663,2022.0,1.0,30,4,3,75.0,82.0,74.0,82.0,44.0,72.0
W. Zaha,"CF, LM, ST",82,82,31000000.0,7.491361693834273,2023.0,2.0,28,3,2,89.0,77.0,73.0,87.0,34.0,75.0
L. Muriel,ST,82,82,30000000.0,7.477121254719663,2024.0,3.0,30,4,2,89.0,83.0,74.0,86.0,27.0,67.0
Anderson Talisca,"CF, ST, CAM",82,83,35500000.0,7.550228353055094,2024.0,3.0,27,4,2,80.0,83.0,81.0,83.0,52.0,75.0
